IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count
1,0,163,47,99,2,1,1
0,4,168,52,100,0,0,1
2,1,157,47,98,1,0,1
0,0,160,47,102,0,0,0
21,10,182,67,110,9,11,7
6,7,185,63,106,3,1,1
2,1,161,51,96,1,0,0
0,4,175,53,106,0,0,0
0,0,166,48,104,0,0,0
0,0,167,48,104,0,0,0
12,8,199,69,115,11,9,7
3,7,194,63,114,1,2,2
0,4,174,53,105,0,0,0
0,0,168,48,104,0,0,0
14,13,206,67,113,3,9,7
2,8,196,61,116,1,0,2
0,4,174,53,105,0,0,1
0,0,168,48,104,0,0,0
19,6,204,69,116,5,5,7
5,8,193,61,115,2,1,0
0,4,174,53,105,0,0,1
14,9,203,75,115,4,7,7
5,7,194,60,115,1,0,0
1,4,175,53,105,0,1,0
0,0,167,48,104,0,0,0
0,0,167,48,104,0,0,0
20,11,192,68,118,7,4,9
2,9,197,61,112,2,0,5
0,0,173,48,110,0,0,0
3,2,162,48,99,0,0,0
2,5,168,52,102,1,2,0
1,2,156,46,99,0,1,0
3,0,157,48,98,0,0,0
24,11,190,63,111,7,11,9
6,10,185,59,106,2,0,4
0,0,166,47,104,0,0,0
5,6,183,60,104,2,2,4
3,3,167,49,104,0,0,0
3,4,161,53,96,0,0,1
0,0,167,48,104,0,0,0
0,6,164,53,99,0,2,1
0,0,159,46,101,1,0,0
0,0,163,49,103,0,0,0
22,9,187,68,113,4,8,12
4,9,174,54,108,3,8,4
0,0,165,48,100,0,1,0
29,13,182,68,109,7,5,9
0,0,162,48,102,0,0,0
1,3,160,47,99,0,0,0
8,8,173,58,104,2,7,8
1,4,169,53,102,0,0,0
1,0,156,50,96,1,0,0
0,0,163,48,102,0,0,0
17,12,186,68,110,5,19,13
3,4,163,51,100,1,0,0
1,4,168,53,102,0,0,1
1,0,155,50,96,0,0,2
0,0,156,48,102,0,1,0
1,5,165,54,101,0,0,0
1,0,164,48,99,0,1,0
0,0,158,47,99,1,0,0
0,0,162,49,99,0,0,0
0,0,168,48,104,0,0,0
13,5,169,55,106,8,7,6
0,1,169,48,104,0,0,0
0,5,163,52,96,0,0,1
0,1,158,48,99,0,0,0
9,7,179,59,104,3,2,4
2,0,161,48,100,0,0,0
1,0,159,49,100,0,0,0
0,3,166,50,105,0,0,1
1,0,160,49,100,0,0,0
3,8,186,59,108,4,1,4
3,4,164,54,97,0,0,0
0,0,164,47,104,0,0,0
0,0,159,48,100,0,0,0
0,0,163,47,101,0,0,0
5,9,188,60,106,2,2,2
0,5,168,54,98,0,1,0
0,0,160,48,99,0,0,1
0,0,161,49,98,0,0,1
20,6,196,73,108,8,4,6
6,8,182,63,103,2,2,1
1,0,163,48,98,0,0,0
1,4,165,52,102,0,1,0
0,5,165,52,101,0,0,0
2,0,154,48,96,0,0,2
13,10,176,58,105,2,1,5
1,0,165,47,103,0,0,0
3,0,164,48,102,1,0,0
17,8,178,54,103,6,6,3
1,1,158,49,97,0,0,0
5,8,185,61,107,2,3,1
2,0,163,49,99,0,0,0
0,0,157,46,101,0,0,0
16,4,179,54,108,5,4,4
9,9,175,56,104,3,5,3
0,0,157,50,96,0,0,0
12,11,169,56,101,12,6,6
2,4,161,52,100,1,0,0
4,1,156,46,96,0,3,0
23,10,187,62,113,12,9,11
23,20,175,65,107,14,6,17
0,4,167,52,103,0,0,0
17,14,182,60,113,13,10,9
0,0,162,48,103,0,0,0
0,0,164,47,103,0,0,0
0,0,164,48,102,0,0,0
0,0,163,47,103,0,0,0
23,8,187,62,112,10,11,8
7,10,177,59,106,1,4,6
1,0,165,48,100,0,0,0
0,0,163,48,102,0,0,0
23,13,185,70,114,7,10,7
0,0,161,48,102,0,0,0
0,0,158,46,102,0,0,1
8,6,178,62,105,8,4,2
13,11,169,53,102,10,7,3
1,5,168,53,103,0,1,1
2,4,162,52,102,2,0,0
0,0,163,47,104,0,0,0
4,9,183,64,106,5,5,2
0,5,169,53,102,0,1,0
18,10,182,63,114,12,4,16
19,12,183,66,111,8,16,15
0,4,170,54,102,0,0,0
0,0,160,48,99,0,0,0
0,0,160,47,102,0,0,0
19,7,194,66,104,9,6,13
1,0,164,49,100,0,0,0
10,6,175,60,104,2,3,5
5,0,161,48,96,0,0,0
2,4,167,54,97,0,1,1
1,0,159,49,96,0,0,1
1,0,160,49,97,1,1,1
13,12,188,69,113,7,7,11
6,8,184,59,105,1,0,1
0,0,163,48,100,0,0,1
0,4,167,54,97,0,1,1
1,0,161,48,97,0,0,1
17,4,190,69,115,10,4,5
4,8,186,62,107,1,1,1
2,0,163,48,100,0,0,0
2,4,167,53,97,1,1,0
1,0,161,49,96,0,0,1
18,9,193,70,112,8,10,9
2,9,190,62,107,1,0,3
1,0,163,48,100,0,0,0
1,5,166,54,97,1,0,1
0,0,162,49,97,0,0,1
1,0,164,48,100,0,0,0
3,7,166,54,97,0,0,0
3,0,159,48,96,0,0,0
1,0,161,47,98,0,0,1
18,5,184,66,110,15,6,2
6,7,183,63,103,2,1,6
1,0,163,48,100,0,0,0
0,1,164,49,101,0,0,1
1,6,166,54,97,0,0,0
1,0,157,48,99,0,0,0
26,11,185,65,111,11,8,6
9,5,177,58,108,7,3,4
4,0,161,48,97,0,0,0
18,16,183,67,114,8,11,7
15,18,184,66,107,11,9,15
1,0,163,48,99,0,0,0
1,0,160,47,99,0,0,0
19,7,188,62,102,13,17,6
1,0,166,49,101,0,1,0
0,0,165,49,102,1,0,0
1,4,166,52,105,0,0,1
0,1,160,48,100,0,0,0
0,0,161,47,103,0,0,0
18,12,187,64,114,8,17,5
1,0,155,49,97,0,0,0
2,0,160,48,100,0,0,0
2,0,170,48,105,0,0,0
0,0,160,48,102,0,0,0
1,0,165,47,102,0,0,0
0,0,163,48,102,0,0,0
18,11,190,63,105,8,13,15
0,1,163,48,99,0,0,0
11,7,178,57,103,4,3,3
0,0,169,48,105,0,0,0
0,0,156,46,102,0,0,1
0,0,159,49,98,0,0,1
0,0,165,48,102,1,0,1
3,0,154,47,95,0,1,1
13,7,177,56,102,9,3,3
1,4,165,53,101,0,1,1
1,4,166,52,100,0,1,0
23,7,184,63,111,12,5,11
13,7,174,61,105,2,3,2
25,10,183,59,112,10,11,12
19,14,182,72,111,8,5,6
4,4,163,56,95,1,1,0
25,9,186,62,106,9,11,7
2,3,170,49,104,0,0,0
9,7,175,58,105,4,3,7
1,0,163,46,103,0,0,0
10,8,176,60,103,9,3,3
29,8,177,66,117,11,8,12
26,15,174,61,112,13,13,14
0,0,164,49,102,0,0,0
15,7,192,72,108,9,8,12
0,0,166,48,100,0,1,0
0,0,161,48,98,0,0,0
24,11,184,66,117,6,10,4
1,0,166,48,101,0,0,0
1,0,161,48,98,0,0,0
0,0,162,48,100,0,0,0
0,0,162,48,101,0,0,0
1,4,169,53,101,0,0,0
2,0,162,47,99,0,0,0
1,0,160,47,99,0,0,0
23,5,186,63,109,18,7,9
3,10,187,60,111,2,1,1
0,1,167,47,104,0,0,0
3,1,153,48,90,1,0,1
2,4,163,53,91,1,0,0
4,1,155,50,91,0,0,1
3,2,154,50,89,2,1,5
14,6,174,52,110,3,2,6
1,0,155,48,99,0,1,1
0,1,164,49,101,0,0,1
2,3,171,54,102,0,0,1
0,0,160,47,101,0,0,0
2,0,165,48,102,0,0,0
3,5,163,54,96,1,0,0
1,1,159,48,100,0,1,0
0,1,157,50,95,1,0,1
13,5,179,56,106,5,3,4
2,0,166,49,102,0,0,0
1,4,166,52,99,0,0,1
0,0,160,48,99,0,0,0
0,0,161,48,101,0,0,0
8,7,186,60,106,1,7,0
0,4,170,53,100,0,0,1
0,0,161,48,99,0,0,0
0,0,161,48,100,0,0,0
5,9,185,60,103,2,2,2
2,4,169,53,102,0,0,0
1,0,162,48,100,0,0,0
0,0,164,49,100,0,0,0
1,4,164,54,96,0,1,0
1,0,158,49,97,0,1,1
1,0,159,46,100,1,1,0
28,2,188,70,106,8,8,0
7,12,172,56,103,4,7,7
1,0,166,48,102,0,0,0
0,4,168,53,102,0,0,0
22,12,185,70,108,10,8,7
22,9,186,67,107,12,11,4
7,7,185,61,106,0,1,1
0,0,160,48,104,0,0,0
1,4,167,51,104,0,0,1
0,0,159,45,103,0,0,0
21,13,180,71,109,13,12,6
5,9,193,63,111,2,3,0
0,1,167,50,102,0,0,0
1,0,163,48,99,0,0,0
0,0,165,48,102,0,0,0
0,4,169,55,99,0,1,0
1,0,158,47,98,1,0,1
1,0,156,49,91,1,0,1
30,6,186,67,112,5,12,6
7,8,175,63,105,6,1,4
2,0,157,48,102,0,0,0
0,1,166,48,102,1,0,0
23,12,184,65,117,9,8,7
1,0,158,48,101,0,0,0
14,10,195,68,108,13,9,9
1,1,162,48,99,0,0,1
24,11,174,62,114,21,13,9
1,4,163,54,95,0,0,1
25,6,190,69,108,7,7,18
17,11,188,67,107,8,6,14
1,0,153,48,97,0,1,0
