Name,IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count,Count of Used Gates,Compressed Chr Size,a XOR b XOR c XOR d Count,(a AND b) XOR (c AND d) Count,Variability of Implementation of the Highest Bit of Product,"[Sum of All Gates, Sum of Used Gates by CGP]"
mult8_cgp14ep_ep13107_wc162_wtmcla,19,6,187,67,112,9,9,11,420,2918,79,36,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 420]"
mult8_cgp14ep_ep13107_wc16456_wtmcla,31,6,183,66,110,12,7,10,425,2897,76,42,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 425]"
mult8_cgp14ep_ep13107_wc164_wtmcla,25,14,188,66,110,8,7,6,424,2927,77,40,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 424]"
mult8_cgp14ep_ep13107_wc16512_wtmcla,24,12,188,63,115,7,13,9,431,2899,77,40,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 431]"
mult8_cgp14ep_ep13107_wc16640_wtmcla,17,14,180,64,109,8,12,12,416,2897,74,40,"[0, 0, 11, 6, 1, 0, 0, 0]","[490, 416]"
mult8_cgp14ep_ep13107_wc16642_wtmcla,20,14,183,65,113,9,8,9,421,2915,70,38,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep13107_wc16656_wtmcla,15,11,176,63,114,10,16,16,421,2909,76,38,"[0, 0, 7, 3, 5, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep13107_wc16708_wtmcla,31,11,182,61,109,11,11,10,426,2908,73,42,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 426]"
mult8_cgp14ep_ep13107_wc16712_wtmcla,27,11,181,66,112,14,7,11,429,2894,78,38,"[0, 0, 10, 7, 1, 0, 0, 0]","[490, 429]"
mult8_cgp14ep_ep13107_wc16768_2_wtmcla,22,6,181,63,109,15,14,11,421,2915,73,38,"[0, 0, 10, 5, 1, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep13107_wc16768_3_wtmcla,27,7,185,62,113,10,11,7,422,2894,78,40,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 422]"
